City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kailua-kona,19.6406,-155.9956,27.38,76,75,8.23,US,1738371552
1,vorgashor,67.5833,63.95,-26.42,99,86,1.63,RU,1738371345
2,haiku-pauwela,20.9219,-156.3051,27.16,69,100,10.28,US,1738371554
3,hawaiian paradise park,19.5933,-154.9731,24.94,93,75,3.09,US,1738371555
4,grytviken,-54.2811,-36.5092,10.25,62,100,2.29,GS,1738371556
5,thompson,55.7435,-97.8558,-23.91,70,20,3.6,CA,1738371557
6,chibougamau,49.9168,-74.3659,-26.21,84,20,2.57,CA,1738371558
7,east london,-33.0153,27.9116,20.75,68,0,3.4,ZA,1738371560
8,ancud,-41.8697,-73.8203,12.15,76,0,2.17,CL,1738371284
9,fortuna,40.5982,-124.1573,12.42,96,100,3.09,US,1738371562
10,almenara,-16.1836,-40.6944,22.28,87,95,1.39,BR,1738371479
11,lamar,33.6668,-95.5836,13.95,69,0,3.6,US,1738371564
12,waitangi,-43.9535,-176.5597,17.68,78,8,3.58,NZ,1738371565
13,sarandi del yi,-33.35,-55.6333,22.31,57,0,6.95,UY,1738371566
14,albany,42.6001,-73.9662,0.3,77,100,0.67,US,1738371086
15,les avirons,-21.2418,55.3394,24.05,69,0,1.54,RE,1738371568
16,port-aux-francais,-49.35,70.2167,4.8,78,21,14.27,TF,1738371569
17,san patricio,28.017,-97.5169,17.29,37,2,3.19,US,1738371570
18,georgetown,5.4112,100.3354,26.96,66,20,2.57,MY,1738371341
19,punta arenas,-53.15,-70.9167,13.06,58,0,7.2,CL,1738371378
20,yellowknife,62.456,-114.3525,-30.71,76,0,2.57,CA,1738371574
21,wailua homesteads,22.0669,-159.378,26.44,73,20,3.6,US,1738371576
22,bethel,41.3712,-73.414,4.23,90,100,1.54,US,1738371577
23,santa ana,33.7456,-117.8678,17.5,62,0,4.63,US,1738371342
24,buala,-8.145,159.5921,27.77,82,100,4.93,SB,1738371579
25,princeville,45.7668,-61.2985,-2.05,92,100,4.63,CA,1738371580
26,puerto natales,-51.7236,-72.4875,10.01,72,100,1.68,CL,1738371581
27,whitehorse,60.7161,-135.0538,-21.57,64,100,4.63,CA,1738371582
28,chizhou,30.6578,117.4831,6.2,93,100,2.33,CN,1738371583
29,adamstown,-25.066,-130.1015,24.98,71,29,5.99,PN,1738371584
30,aasiaat,68.7098,-52.8699,-7.53,83,100,6.83,GL,1738371585
31,mildura,-34.2,142.15,32.82,40,0,5.34,AU,1738371586
32,hermanus,-34.4187,19.2345,17.88,83,1,2.03,ZA,1738371587
33,thabazimbi,-24.5917,27.4116,26.27,46,100,1.56,ZA,1738371588
34,invercargill,-46.4,168.35,19.45,62,100,4.47,NZ,1738371042
35,dudinka,69.4058,86.1778,-22.67,89,100,3.36,RU,1738371590
36,ilulissat,69.2167,-51.1,-7.97,74,100,3.99,GL,1738371592
37,bardai,11.65,7.2333,18.13,25,5,4.7,NG,1738371593
38,mitsamiouli,-11.3847,43.2844,27.63,82,100,4.61,KM,1738371594
39,ribeira grande,38.5167,-28.7,18.22,88,75,9.39,PT,1738371595
40,sarikei,2.1167,111.5167,23.66,98,100,1.23,MY,1738371596
41,amga,60.8953,131.9608,-38.52,99,87,0.07,RU,1738371597
42,micheweni,-4.9667,39.8333,26.58,81,25,5.05,TZ,1738371598
43,nadi,-17.8,177.4167,30.0,70,75,3.09,FJ,1738371504
44,tura,25.5198,90.2201,13.3,57,0,1.57,IN,1738371600
45,qaqortoq,60.7167,-46.0333,-11.52,91,40,3.75,GL,1738371603
46,chonchi,-42.6128,-73.8092,13.4,85,0,1.34,CL,1738371604
47,bilibino,68.0546,166.4372,-41.71,98,42,1.1,RU,1738371606
48,mahenge,-8.6833,36.7167,17.43,93,72,0.41,TZ,1738371607
49,galesong,-5.3166,119.3661,26.55,81,100,4.11,ID,1738371609
50,novodvinsk,64.4165,40.8122,-1.14,97,94,1.75,RU,1738371498
51,susuman,62.7833,148.1667,-39.52,99,82,0.38,RU,1738371611
52,namsos,64.4662,11.4957,0.95,93,75,2.06,NO,1738371613
53,puerto ayora,-0.7393,-90.3518,24.75,97,100,0.89,EC,1738371615
54,port elizabeth,-33.918,25.5701,18.51,88,47,1.34,ZA,1738371616
55,west island,-12.1568,96.8225,24.99,94,100,3.09,CC,1738371617
56,borzya,50.3833,116.5167,-32.19,99,54,0.4,RU,1738371618
57,blackmans bay,-43.0167,147.3167,21.07,70,57,0.89,AU,1738371620
58,manakara,-22.1333,48.0167,24.57,95,72,1.76,MG,1738371622
59,brookings,44.3114,-96.7984,-4.0,86,0,3.6,US,1738371623
60,saipan,15.1355,145.701,28.69,74,75,10.8,MP,1738371528
61,iqaluit,63.7506,-68.5145,-18.15,71,75,12.35,CA,1738371625
62,tazovsky,67.4667,78.7,-27.45,95,100,4.19,RU,1738371626
63,anadyr,64.75,177.4833,-18.72,77,100,3.0,RU,1738371627
64,ushuaia,-54.8,-68.3,9.81,71,20,2.06,AR,1738371628
65,yei,4.095,30.6779,23.34,27,100,0.18,SS,1738371629
66,alesund,62.4723,6.1549,0.97,82,0,4.12,NO,1738371630
67,mogadishu,2.0371,45.3438,23.28,82,50,8.53,SO,1738371612
68,lebu,-37.6167,-73.65,14.26,83,1,9.13,CL,1738371632
69,luderitz,-26.6481,15.1594,16.62,90,1,5.51,NA,1738371634
70,kodiak,57.79,-152.4072,-1.31,51,89,2.41,US,1738371635
71,piti village,13.4626,144.6933,29.61,71,100,8.23,GU,1738371636
72,madinat ash shamal,26.1293,51.2009,17.05,70,0,4.95,QA,1738371637
73,alofi,-19.0595,-169.9187,30.94,66,40,5.14,NU,1738371638
74,holualoa,19.6228,-155.9522,25.31,77,82,4.59,US,1738371639
75,katsuren-haebaru,26.3369,127.8719,20.05,87,100,6.74,JP,1738371640
76,alice springs,-23.7,133.8833,34.75,8,0,7.2,AU,1738371641
77,wenchang,30.904,118.4887,6.49,92,100,2.73,CN,1738371642
78,avarua,-21.2078,-159.775,29.03,74,99,3.6,CK,1738371643
79,zadar,44.1197,15.2422,8.34,81,0,1.54,HR,1738371644
80,mockern,52.1333,11.95,1.82,87,7,2.29,DE,1738371645
81,isafjordur,66.0755,-23.124,2.6,91,100,5.34,IS,1738371646
82,adh dhibiyah,24.5014,45.9686,9.73,25,0,1.94,SA,1738371648
83,bredasdorp,-34.5322,20.0403,19.58,72,75,1.06,ZA,1738371649
84,laguna,38.421,-121.4238,9.7,92,100,3.6,US,1738371650
85,longyearbyen,78.2186,15.6401,-5.09,74,40,6.17,SJ,1738371651
86,saint-pierre,-21.3393,55.4781,25.82,69,0,1.54,RE,1738371652
87,zahedan,29.4963,60.8629,-4.05,58,0,2.06,IR,1738371653
88,port mathurin,-19.6833,63.4167,27.08,88,73,12.64,MU,1738371655
89,papatowai,-46.5619,169.4708,18.68,55,100,3.78,NZ,1738371656
90,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,40,75,8.0,RU,1738371405
91,tiksi,71.6872,128.8694,-31.71,99,100,2.33,RU,1738371659
92,iskateley,67.6803,53.1512,-13.74,96,98,3.9,RU,1738371660
93,lata,40.1629,-8.3327,5.02,86,100,1.04,PT,1738371661
94,marsh harbour,26.5412,-77.0636,22.62,82,97,5.41,BS,1738371579
95,grants,35.1473,-107.8514,2.13,25,0,1.54,US,1738371664
96,klyuchi,52.2667,79.1667,-25.01,99,66,3.02,RU,1738371665
97,harper,4.375,-7.7169,26.41,84,11,2.76,LR,1738371666
98,naze,28.3667,129.4833,17.51,81,100,8.54,JP,1738371668
99,canyon,34.9803,-101.9188,12.6,26,0,0.89,US,1738371538
100,edinburgh of the seven seas,-37.0676,-12.3116,17.13,84,13,7.79,SH,1738371670
